企　業　名,職種,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,
,,機,知,情,生,電,機,知,情,生,電,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環
オークマ(株）,Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
大阪ソフトハウス㈱,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)大阪製薬,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
大谷工業(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
岡谷電機産業(株)   ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
沖ソフトウエア関西(株)  ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
小木曽工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)オスポック,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
オスラム･メルコ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
奥野山製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
オリオン機械(株),Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
オリオン電機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
音羽電機工業(株),Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
ＯＳＧ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
(株)カーネルコンセプト,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
カーネルソフトエンジニアリング(株),Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
ガイオ・テクノロジー(株)　　　　 ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
かがつう(株),Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
(株)柿本商会,Ｄ,,,,,,,,,,,,,,,,,,,,,,1,,,1
(株)  香月堂,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
(株)鹿島塾,Ｏ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)梶川建設,Ｄ,,,,,,,,,,,,,,,1,,,,,,,,,,
㈱片山製薬所,Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,1,
カテナ(株)　　     ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)金井機械設計事務所,Ｌ,,,,,,,,,,,,,,,,,,,,,,,,,
兼房㈱,Ｅ,,,,,,,,,,,1,,,,,,,,,,,,,,
(株)金沢エンジニアリングシステムズ,Ｈ,,,,,,,,,,,,,,,,,,,,,,,,,
上賀茂縫工(有),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＫＹＢ(株)（カヤバ工業）,Ｅ,,,,,,,,,,,,,,,,,1,,,,,,,,
加茂精工㈱,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
河合電気工事(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
川重岐阜エンジニアリング(株)          ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
川重冷熱工業(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
川田工業(株) 　　　,Ｄ,,,,,,,,,,,,,,,,1,,,,1,,,,,
(株)川副機械製作所　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)川本製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
関西三菱電機プラントサービス(株)      ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
関東自動車工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
関電工,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
ＨＬＳ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)喜多村合金製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)北村製作所,Ｅ,1,1,,,,,,,,,,,,,,,,,,,,,,,
岐阜県信用農業協同組合連合会,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
岐阜車体工業(株),Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
ギフハイテック(株),Ｅ,,1,,,,,,,,,,,,,,,,,,,,,,,
岐阜プラスチック工業(株)  ,Ｅ,,,,,,,,,,,,,,,,,1,,,,1,,,,
キヤノン㈱,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
キヤノンシステムアンドサポート(株)(旧キヤノンコピア販売),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
キャノンイメージングシステムズ（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,1,,
協栄産業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
京セラ(株) 　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
京セラミタ(株)     ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
京都電機器(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
共立コンピューターサービス(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
キョーリンリメディオ（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,1,
協和医療器械,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)京和製作所　　　　　　　　　  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
キステム（株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,1,,
キムラ㈱,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,1,
㈱キールスタッフィング,Ｇ,,,,,,,,,,,,,,,,,,,1,,,,,,
金陵電機(株) 　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)久世ベローズ工業所,Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
クオレ（株）,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,1,
クラスター(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）クリエ,Ｒ,,,,,,,,,,,,1,,,,,,,,,,,,,
桑名エンジニアリングプラスチック(株)              ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)桑山貴金属　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
グッドウィル・エンジニアリング,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
特別医療法人財団薫仙会,Ｐ,,,,,,,,,,,,,,,,,,,,,,,,,
京葉工管(株),Ｄ,,,,,,,,,,,1,,,,,,,,,,,,,,
(株)ゲオ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
ＫＶＫ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）小糸製作所,Ｅ,1,,,,,,,,,,,,,,,,,,,,,,,,
虹技（株）（こうぎ）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
鴻池メディカル（株）,Ｌ,,,,,,,,,,,,,,,,,,,,,,,,1,
（株）幸建,Ｄ,,,,,,,,,,,,,,,,,,,1,,,,,,
(株)光電舎,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
光生アルミニューム工業(株),Ｅ,,,,1,,,,,,,,,,,,,,,,,,,,,
光洋メタルテック,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
国際電気セミコンダクタサービス                        (旧国際電気システムサービス(株),Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)コジマ,Ｉ,1,,,,,,,,,,,,,,,,,,,,,,,,
(株)コージン,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）コスモサミット,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
小林化工(株),Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,
コマツ工機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
小松ウオール工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）小松製作所,Ｅ,1,,,,,1,,,,,,,,,,,,,,,,,,,
小松電子(株）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
小松精練（株）,Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)コヤマ,Ｅ,,,,,,,,,,,1,,,,,,,,,,,,,,
(株)ゴール,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
コーワメックス(株),Ｒ,,,,,,,,,,,,,,,,,,1,,,,,,,
(株)小楠金属工業所　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
湖北精工(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
坂部工業(株),Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
栄屋乳業,Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,1,
サカエ理研工業（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,1,,,
(株)酒重,Ｉ,,,,,,,,,1,,,,,,,,,,,,,,,,
(株)ザクシスヤズ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）サクラ,Ｉ,,,,,,,,,,,,,1,,,,,,,,,,,,
(株)三栄水栓製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三英電業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三栄ハイテックス,Ｇ,,1,,,,,,,,,,,,,,,,,,,,,,,
サンエ－電機(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
山金工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
３Ｑグル－プ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
三協(株),Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
サンクス(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
サンテクノ(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
三恵工業（自社企業）,Ｄ,,,,,,,,,,,1,,,,,,,,,,,,,,
三恵工業（株）,Ｅ,,,,,,1,,,,,,,,,,,,,,,,,,,
（株）三五,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）三洋化学研究所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,1,
サンリッツ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三和油化工業（株）,Ｅ,,,,,,,,,,,,,,1,1,,,,,,,,,,
(株)三社電機製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三明機工(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
三明電子産業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
サンエツ金属（株）,Ｅ,,,,,,,,,,,,,,,,,,,,,1,,,,
（株）サンヨー,Ｅ,,,,,,,,,,,,,,,,,,,,,,,1,,
(株)シーアールイー,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)シーアールイー上と同じ業種違い,Ｒ,,,,,,,,,,,,,,,,1,,,,,,,,,
(株)シーイーシ　　　　　　  ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
シーシーアイ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＣＫＤ(株) 　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
ＣＳＥ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）シーテック,Ｄ,,,,,,,,,,,,,,,,1,,,,,,,,,
(株)シーテック　中部電力グループ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)シーテック　人材派遣,Ｒ,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡあいち三河,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡおおぞら,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ金沢,Ｑ,,,,,,,1,,,,,,,,,,,,,,,,,,
(株)ジェイエスエス  ,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
(株)ジェイテック,Ｒ,,1,,,,,,,,,,,,,,,,,,,,,,,
(株)ジェイマックスソフト,Ｇ,,,,,,,,,,,,,1,,,,,,,,,,,,
Ｊマテ.カッパープロダクツ（株）,Ｅ,,,,,,,,,,,,,,,,1,,,,,,,,,
(株)ジェスクホリウチ,I,,,1,,,,,,,,,,,,,,,,,,,,,,
(株)Ｊ・Ｂ・Ｈ,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＪＣＳコンピュータ・サービス,Ｇ,,,1,,,,,,,,,,,,,,,,,,,,,,
(株)ジェイ・ティ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ＧＳユアサコーポレーション,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
シオノギテクノアドバンスリサーチ㈱ ,Ｅ,,,,,,,,,,,,,,,,,,,1,,,,,,
(株)静岡システムテクノロジー,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)システック,Ｌ,,,,,,,,,,,,,1,,,,,,,,,,,,
(株)システックス,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)システムコーディネート,Ｇ,,,,,,,,1,,,,,,,,,,,,,,,,,
(株)システムサポート,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株）システムプロ,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
(株）システムリサーチ,Ｇ,,,,,,,,,,,,,,,,,,1,,,,,,,
