工学部　企業別就職者数（県外）　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上場,企　業　名,職種,５年度,,６年度,,７年度,,８年度,,９年度,,１０年度,,～１０年度,,１１年度,,１２年度,,１３年度,,１４年度,,１５年度,,１６年度,,１７年度,,１8年度,,１９年度,,２０年度,,21年度,,,,,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,,合計,,,,,,5～25
,,,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,電,機,知,情,生,電,機,知,情,生,電,機,知,情,生,電,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環,電,合計
○,(株)アルファシステムズ     ,Ｒ,,,,,,,,1,,1,2,1,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,1,0,4,11
,(株)アルプ,Ｌ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,1,0,1
○,(株)アルプス技研,Ｒ,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,3,1,3,1,3,13
○,アロカ(株),Ｅ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,2
,安全索道(株),Ｅ,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,アンデン(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
,(株)イートラスト                        （酒井無線・㈱近藤電機）,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,3
,(株)石川コンピュータ・センター,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,0,0,6,0,1,0,7
,石川サンケン(株)　　　　　　　　   ,Ｅ,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,6
,(株)石野製作所,Ｅ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1
